oneid,bid,guess,ask,prob,strategy,grp,size,clarity
273,15,20,15,0.2,0,0,5,5
3843,5,2,2,1,0,4,5,1
4004,15,15,10,0.5,1,8,20,7
4375,5,50,15,0.5,0,9,20,4
4591,12,15,16,0.5,0,9,20,7
4791,6,10,11,0.5,0,9,20,5
5506,8,5,8,0.2,1,5,5,3
6074,5,17,20,0.2,0,2,5,5
9235,8,10,8,0.2,0,2,5,6
9287,10,8,15,0.05,0,9,20,7
12576,15,10,15,0.5,1,8,20,1
12933,3,5,5,0.5,1,7,5,5
13323,12,16,10,0.07,0,9,20,6
13328,17,22,20,0.05,0,9,20,8
13753,18,30,10,0.5,0,9,20,5
15657,8,40,10,0.2,1,5,5,4
17232,15,30,15,0.05,0,9,20,9
17430,5,3,3,0.5,1,8,20,5
19775,15,16,10,0.6,0,9,20,7
20406,18,8,19,1,1,8,20,5
20414,5,50,10,0.05,1,8,20,5
21396,5,10,15,0.2,0,0,5,10
22514,10,25,20,0.2,1,5,5,1
23024,16,1,17,1,0,9,20,1
23304,20,25,15,0.05,0,9,20,3
23327,10,10,15,0.5,0,0,5,6
23328,15,20,16,1,0,9,20,6
23491,4,3,3,0.23,1,8,20,5
23535,20,50,10,0.5,1,7,5,10
23968,10,30,12,0.35,0,0,5,4
26536,5,3,5,1,1,7,5,3
26739,15,25,15,1,1,7,5,1
26759,20,25,15,0.2,0,4,5,3
26951,20,50,15,0.05,0,9,20,1
27242,16,15,10,0.2,0,4,5,9
27870,18,18,18,1,1,8,20,6
28104,15,31,18,0.7,0,6,5,8
29978,18,28,11,0.6,0,6,5,6
30077,5,5,10,0.08,0,9,20,8
31373,5,5,15,0.2,1,1,5,1
31631,5,5,10,0.5,0,4,5,4
31756,10,50,15,0.5,0,9,20,1
32861,15,50,5,0.25,1,5,5,1
33266,6,3,8,0,0,2,5,5
33298,0,25,15,0.5,0,6,5,3
34007,5,10,15,0.2,0,0,5,1
34263,10,25,20,0.5,0,9,20,1
34349,17,20,17,0.3,0,9,20,9
35049,0,25,20,1,0,4,5,9
35384,1,5,8,0.5,1,7,5,5
35943,19,75,15,0.5,1,8,20,6
35962,1,2,15,0.1,1,8,20,5
36651,5,50,4,0.05,1,8,20,5
36760,1,3,5,0.2,0,4,5,5
42569,10,15,20,0.25,1,7,5,3
44288,0.5,25,12.5,0.2,0,2,5,10
46120,10,3,2,0.1,1,8,20,6
46437,15,12,12,0.2,0,0,5,5
46752,12,8,12,0.05,1,8,20,6
48484,15,10,10,1,1,8,20,5
48509,12,69,10,0.5,1,8,20,8
50187,4.75,5,9,0.2,0,2,5,8
50309,15,50,20,0.5,0,9,20,10
50969,15,50,15,0.5,1,8,20,1
51481,16,2,17,0.2,1,3,5,6
54195,10,3,13,0.5,0,0,5,1
64245,18,18,20,1,0,9,20,8
64939,20,18,13,0.99,1,8,20,7
65433,17,60,17,0.4,0,4,5,7
68111,10,18,12,1,1,8,20,6
73326,16,37,16,0.08,0,9,20,8
73781,5,26,15,0.2,0,9,20,4
73977,15,12,10,0.05,0,9,20,7
74402,5,7,5,0.5,0,0,5,2
75049,20,1,1,0.25,1,8,20,7
75182,13,13,14,0.05,1,8,20,6
77921,15,70,10,0.05,1,8,20,3
78506,19,16,15,0.5,0,9,20,7
79846,5,0,20,0.05,1,8,20,2
86173,15,14,16,0.2,0,9,20,6
88353,0,19,10,0.5,1,1,5,10
88587,5,6,7,0.2,0,6,5,7
89574,5,33,10,0.2,0,0,5,5
90683,0,75,10,0.05,1,8,20,8
93556,15,10,20,1,0,9,20,10
97610,5.5,4,8,0.2,1,1,5,8
98506,10,1,13,1,0,9,20,5
98684,7,8,8,0.2,1,7,5,8
99700,1,32,3.75,0.3,1,5,5,5
99993,20,15,20,0.2,1,1,5,5.5
