oneid,prob,bid,ask,strategy,grp,time,size,clarity
6884,0.2,10,12,1,1,2020-10-15 18:34:16,5,10
7434,0.05,17,25,0,8,2020-10-15 18:34:23,20,5
9657,0.05,21,22,1,9,2020-10-15 18:34:26,20,8
9843,0.05,5,15,0,8,2020-10-15 18:29:01,20,10
11332,0.05,20,12,0,8,2020-10-15 18:26:02,20,5
13048,0.05,18,18,0,8,2020-10-15 18:28:09,20,7
13869,0.05,15,10,1,9,2020-10-15 18:37:05,20,8
14273,0.05,15,10,0,8,2020-10-15 18:31:01,20,8
17260,0.2,22,13,0,2,2020-10-15 18:34:10,5,3
18779,0.05,15,5,1,9,2020-10-15 18:34:11,20,8
20030,0.05,15,15,0,8,2020-10-15 18:31:03,20,5
20114,0.05,10,15,1,9,2020-10-15 18:37:33,20,10
20222,0.05,15,15,0,0,2020-10-15 18:23:32,5,5
20320,0.05,10,10,0,8,2020-10-15 18:27:31,20,2
21338,0.05,20,10,0,8,2020-10-15 18:29:53,20,6
22378,0.2,15,13,0,4,2020-10-15 18:35:56,5,6
27166,0.05,10,8,1,9,2020-10-15 18:28:10,20,9
27919,0.2,10,20,0,4,2020-10-15 18:24:35,5,9
28435,0.05,20,15,0,4,2020-10-15 18:31:13,5,9
28610,0.05,10,15,0,8,2020-10-15 18:28:37,20,5
29127,0.05,25,1.25,1,9,2020-10-15 18:33:24,20,8
30074,0.2,19,10,1,5,2020-10-15 18:35:20,5,1
30329,0.05,22,1.5,1,9,2020-10-15 18:23:11,20,2.3
30917,0.05,25,35,0,6,2020-10-15 18:36:30,5,10
31479,0.05,24,24,0,8,2020-10-15 18:35:30,20,6
32671,0.05,5,5,0,8,2020-10-15 18:35:49,20,1
36709,0.2,7,7,0,8,2020-10-15 18:19:35,20,7
37433,0.05,15,12,1,9,2020-10-15 18:32:02,20,5
38091,0.05,16,9.75,1,9,2020-10-15 18:36:33,20,10
38308,0.2,1,49.5,0,8,2020-10-15 18:20:13,20,2
38961,0.05,13,13,0,8,2020-10-15 18:33:59,20,7
40501,0.05,10,17,0,4,2020-10-15 18:32:31,5,5
40863,0.2,20,10,1,1,2020-10-15 18:30:26,5,10
43777,0.05,18,20,1,9,2020-10-15 18:31:37,20,10
45360,0.05,5,15,1,9,2020-10-15 18:38:38,20,5
46309,0.2,18,18,0,8,2020-10-15 18:34:40,20,5
47460,0.05,20,25,0,0,2020-10-15 18:35:53,5,5
48856,0.2,15,14,1,1,2020-10-15 18:44:05,5,9
49067,0.05,15,5,1,9,2020-10-15 18:30:43,20,5
49224,0.05,10,15,0,8,2020-10-15 18:31:51,20,6
49228,0.2,12,12,1,9,2020-10-15 18:29:47,20,6
50284,0.05,20,12,0,8,2020-10-15 18:40:36,20,8.5
50522,0.05,15,10,0,0,2020-10-15 18:30:36,5,5
50525,0.05,20,10,1,3,2020-10-15 18:46:56,5,7
50591,0.05,15,10,0,2,2020-10-15 18:37:08,5,5
50659,0.05,15,20,0,6,2020-10-15 18:34:27,5,5
52121,0.05,15,10,0,2,2020-10-15 18:33:49,5,5
53400,0.05,5,8,0,4,2020-10-15 18:35:28,5,3
53861,0.05,12,12,1,9,2020-10-15 18:33:53,20,8
59635,0.05,10,20,1,9,2020-10-15 18:28:26,20,5
62613,0.05,15,20,0,8,2020-10-15 18:35:47,20,8
63530,0.05,30,5,0,2,2020-10-15 18:59:01,5,5
64650,0.2,18,8,1,7,2020-10-15 18:35:12,5,8
69867,0.05,10,15,1,9,2020-10-15 18:26:01,20,5
72989,0.05,2,6,1,7,2020-10-15 18:33:34,5,6
73118,0.05,5,15,0,2,2020-10-15 18:36:26,5,8
76916,0.2,5,5,1,1,2020-10-15 18:32:23,5,7
77670,0.2,10,11,0,6,2020-10-15 18:35:31,5,10
78539,0.05,25,25,1,9,2020-10-15 18:33:53,20,8
81246,0.2,15,15,0,6,2020-10-15 18:34:42,5,5
82346,0.05,15,10,0,8,2020-10-15 18:32:54,20,5
84973,0.05,7.5,7.5,1,9,2020-10-15 18:36:05,20,6
90041,0.05,19,19,1,9,2020-10-15 18:31:27,20,5
95375,0.05,15,10,0,6,2020-10-15 18:31:20,5,10
95462,0.2,25,15,1,7,2020-10-15 18:33:06,5,5
96187,0.05,6,7,1,9,2020-10-15 18:36:38,20,9
96471,0.2,30,20,0,6,2020-10-15 18:32:46,5,7
98039,0.2,15,20,0,2,2020-10-15 18:32:32,5,6
99423,0.05,20,15,0,8,2020-10-15 18:32:24,20,7
99548,0.05,30,12,0,8,2020-10-15 18:41:57,20,5
99907,0.2,7,12,1,1,2020-10-15 18:32:18,5,8
